person_id,status,mask_probability,without_mask_probability,timestamp,image_path
1,Mask,0.9507,0.0493,2026-09-17 22:21:33,with_mask\person_1_mask_20260917_222133_696358.jpg
1,Mask,0.9584,0.0416,2026-09-17 22:21:35,with_mask\person_1_mask_20260917_222135_748004.jpg
1,Mask,0.9634,0.0366,2026-09-17 22:21:37,with_mask\person_1_mask_20260917_222137_854846.jpg
1,Mask,0.9654,0.0346,2026-09-17 22:21:40,with_mask\person_1_mask_20260917_222140_151137.jpg
1,Mask,0.9546,0.0454,2026-09-17 22:21:42,with_mask\person_1_mask_20260917_222142_230560.jpg
1,Mask,0.9539,0.0461,2026-09-17 22:21:44,with_mask\person_1_mask_20260917_222144_268521.jpg
1,Mask,0.9519,0.0481,2026-09-17 22:21:46,with_mask\person_1_mask_20260917_222146_326893.jpg
1,Mask,0.9522,0.0478,2026-09-17 22:21:48,with_mask\person_1_mask_20260917_222148_408067.jpg
1,Mask,0.9584,0.0416,2026-09-17 22:21:50,with_mask\person_1_mask_20260917_222150_491649.jpg
1,Mask,0.9616,0.0384,2026-09-17 22:21:52,with_mask\person_1_mask_20260917_222152_526005.jpg
1,Mask,0.9587,0.0413,2026-09-17 22:21:54,with_mask\person_1_mask_20260917_222154_565518.jpg
2,Mask,0.9517,0.0483,2026-09-17 22:22:25,with_mask\person_2_mask_20260917_222225_961289.jpg
3,Mask,0.9568,0.0432,2026-09-17 22:22:30,with_mask\person_3_mask_20260917_222230_368644.jpg
3,Mask,0.9484,0.0516,2026-09-17 22:22:32,with_mask\person_3_mask_20260917_222232_445357.jpg
3,Mask,0.9587,0.0413,2026-09-17 22:22:34,with_mask\person_3_mask_20260917_222234_474025.jpg
3,Mask,0.957,0.043,2026-09-17 22:22:36,with_mask\person_3_mask_20260917_222236_848396.jpg
4,Mask,0.9458,0.0542,2026-09-17 22:22:38,with_mask\person_4_mask_20260917_222238_321108.jpg
3,Mask,0.9596,0.0404,2026-09-17 22:22:38,with_mask\person_3_mask_20260917_222238_871063.jpg
3,Mask,0.9601,0.0399,2026-09-17 22:22:40,with_mask\person_3_mask_20260917_222240_919778.jpg
3,Mask,0.958,0.042,2026-09-17 22:22:42,with_mask\person_3_mask_20260917_222242_942720.jpg
3,Mask,0.9599,0.0401,2026-09-17 22:22:45,with_mask\person_3_mask_20260917_222245_020330.jpg
3,Mask,0.9569,0.0431,2026-09-17 22:22:47,with_mask\person_3_mask_20260917_222247_031930.jpg
3,Mask,0.9624,0.0376,2026-09-17 22:22:49,with_mask\person_3_mask_20260917_222249_043325.jpg
3,Mask,0.9567,0.0433,2026-09-17 22:22:51,with_mask\person_3_mask_20260917_222251_056904.jpg
3,Mask,0.9568,0.0432,2026-09-17 22:22:53,with_mask\person_3_mask_20260917_222253_117001.jpg
3,Mask,0.959,0.041,2026-09-17 22:22:55,with_mask\person_3_mask_20260917_222255_138306.jpg
3,Mask,0.9577,0.0423,2026-09-17 22:22:57,with_mask\person_3_mask_20260917_222257_172109.jpg
3,Mask,0.9548,0.0452,2026-09-17 22:22:59,with_mask\person_3_mask_20260917_222259_207579.jpg
3,Mask,0.9551,0.0449,2026-09-17 22:23:01,with_mask\person_3_mask_20260917_222301_242244.jpg
3,Mask,0.9594,0.0406,2026-09-17 22:23:03,with_mask\person_3_mask_20260917_222303_283781.jpg
5,Mask,0.9407,0.0593,2026-09-17 22:23:44,with_mask\person_5_mask_20260917_222344_367677.jpg
6,Mask,0.9355,0.0645,2026-09-17 22:23:56,with_mask\person_6_mask_20260917_222356_712939.jpg
7,Mask,0.9257,0.0743,2026-09-17 22:24:08,with_mask\person_7_mask_20260917_222408_892136.jpg
8,Mask,0.934,0.066,2026-09-17 22:24:37,with_mask\person_8_mask_20260917_222437_434386.jpg
9,Mask,0.9034,0.0966,2026-09-17 22:24:37,with_mask\person_9_mask_20260917_222437_730969.jpg
9,Mask,0.9143,0.0857,2026-09-17 22:24:40,with_mask\person_9_mask_20260917_222440_003316.jpg
9,Mask,0.9064,0.0936,2026-09-17 22:24:42,with_mask\person_9_mask_20260917_222442_530951.jpg
10,Mask,0.9311,0.0689,2026-09-17 22:24:42,with_mask\person_10_mask_20260917_222442_896179.jpg
9,Mask,0.9121,0.0879,2026-09-17 22:24:44,with_mask\person_9_mask_20260917_222444_924834.jpg
11,Mask,0.917,0.083,2026-09-17 22:24:47,with_mask\person_11_mask_20260917_222447_466251.jpg
11,Mask,0.9149,0.0851,2026-09-17 22:24:49,with_mask\person_11_mask_20260917_222449_863534.jpg
11,Mask,0.9155,0.0845,2026-09-17 22:24:52,with_mask\person_11_mask_20260917_222452_159498.jpg
11,Mask,0.9098,0.0902,2026-09-17 22:24:54,with_mask\person_11_mask_20260917_222454_168312.jpg
11,Mask,0.9572,0.0428,2026-09-17 22:25:24,with_mask\person_11_mask_20260917_222524_030591.jpg
12,Mask,0.9898,0.0102,2026-09-17 22:25:24,with_mask\person_12_mask_20260917_222524_160918.jpg
11,Mask,0.9088,0.0912,2026-09-17 22:25:26,with_mask\person_11_mask_20260917_222526_128074.jpg
11,Mask,0.9004,0.0996,2026-09-17 22:25:28,with_mask\person_11_mask_20260917_222528_191748.jpg
11,Mask,0.9001,0.0999,2026-09-17 22:25:30,with_mask\person_11_mask_20260917_222530_424306.jpg
13,Mask,0.9158,0.0842,2026-09-17 22:25:33,with_mask\person_13_mask_20260917_222533_286072.jpg
13,Mask,0.9,0.1,2026-09-17 22:25:35,with_mask\person_13_mask_20260917_222535_371986.jpg
13,Mask,0.9034,0.0966,2026-09-17 22:25:37,with_mask\person_13_mask_20260917_222537_527577.jpg
13,Mask,0.8939,0.1061,2026-09-17 22:25:39,with_mask\person_13_mask_20260917_222539_847668.jpg
13,Mask,0.9686,0.0314,2026-09-17 22:25:41,with_mask\person_13_mask_20260917_222541_850639.jpg
14,Mask,0.972,0.028,2026-09-17 22:25:43,with_mask\person_14_mask_20260917_222543_166007.jpg
13,Mask,0.9336,0.0664,2026-09-17 22:25:44,with_mask\person_13_mask_20260917_222544_684040.jpg
14,Mask,0.9719,0.0281,2026-09-17 22:25:45,with_mask\person_14_mask_20260917_222545_326520.jpg
15,Mask,0.9235,0.0765,2026-09-17 22:25:55,with_mask\person_15_mask_20260917_222555_366162.jpg
16,Mask,0.975,0.025,2026-09-17 22:25:55,with_mask\person_16_mask_20260917_222555_974097.jpg
15,Mask,0.9329,0.0671,2026-09-17 22:25:57,with_mask\person_15_mask_20260917_222557_643946.jpg
15,Mask,0.9285,0.0715,2026-09-17 22:25:59,with_mask\person_15_mask_20260917_222559_821997.jpg
15,Mask,0.9276,0.0724,2026-09-17 22:26:01,with_mask\person_15_mask_20260917_222601_916980.jpg
17,Mask,0.9219,0.0781,2026-09-17 22:26:05,with_mask\person_17_mask_20260917_222605_903768.jpg
18,Mask,0.9633,0.0367,2026-09-17 22:26:11,with_mask\person_18_mask_20260917_222611_729584.jpg
19,Mask,0.9285,0.0715,2026-09-17 22:26:11,with_mask\person_19_mask_20260917_222611_993218.jpg
